pathway	description	12858.0BR.3.R1.fastq.gz	12858.0KC.2.R1.fastq.gz	12858.0MR.4.R1.fastq.gz	12858.0TB.1.R1.fastq.gz	12858.10BR.49.R1.fastq.gz	12858.10KC.47.R1.fastq.gz	12858.10MR.50.R1.fastq.gz	12858.10TB.46.R1.fastq.gz	12858.11BR.52.R1.fastq.gz	12858.11KC.51.R1.fastq.gz	12858.11MR.53.R1.fastq.gz	12858.11TB.81.R1.fastq.gz	12858.12BR.56.R1.fastq.gz	12858.12KC.55.R1.fastq.gz	12858.12MR.57.R1.fastq.gz	12858.12TB.54.R1.fastq.gz	12858.13BR.60.R1.fastq.gz	12858.13KC.59.R1.fastq.gz	12858.13MR.61.R1.fastq.gz	12858.13TB.58.R1.fastq.gz	12858.14BR.64.R1.fastq.gz	12858.14KC.63.R1.fastq.gz	12858.14MR.65.R1.fastq.gz	12858.14TB.62.R1.fastq.gz	12858.15BR.68.R1.fastq.gz	12858.15KC.67.R1.fastq.gz	12858.15MR.69.R1.fastq.gz	12858.15TB.66.R1.fastq.gz	12858.16BR.72.R1.fastq.gz	12858.16KC.71.R1.fastq.gz	12858.16MR.73.R1.fastq.gz	12858.16TB.70.R1.fastq.gz	12858.17BR.76.R1.fastq.gz	12858.17KC.75.R1.fastq.gz	12858.17MR.77.R1.fastq.gz	12858.17TB.74.R1.fastq.gz	12858.18BR.82.R1.fastq.gz	12858.18KC.79.R1.fastq.gz	12858.18MR.83.R1.fastq.gz	12858.18TB.78.R1.fastq.gz	12858.19BR.86.R1.fastq.gz	12858.19KC.85.R1.fastq.gz	12858.19MR.87.R1.fastq.gz	12858.19TB.84.R1.fastq.gz	12858.1BR.7.R1.fastq.gz	12858.1KC.6.R1.fastq.gz	12858.1MR.8.R1.fastq.gz	12858.1TB.5.R1.fastq.gz	12858.20BR.90.R1.fastq.gz	12858.20KC.89.R1.fastq.gz	12858.20MR.91.R1.fastq.gz	12858.20TB.88.R1.fastq.gz	12858.21BR.94.R1.fastq.gz	12858.21KC.93.R1.fastq.gz	12858.21MR.95.R1.fastq.gz	12858.21TB.92.R1.fastq.gz	12858.22BR.98.R1.fastq.gz	12858.22KC.97.R1.fastq.gz	12858.22MR.99.R1.fastq.gz	12858.22TB.96.R1.fastq.gz	12858.23BR.102.R1.fastq.gz	12858.23KC.101.R1.fastq.gz	12858.23MR.103.R1.fastq.gz	12858.23TB.100.R1.fastq.gz	12858.24BR.106.R1.fastq.gz	12858.24KC.105.R1.fastq.gz	12858.24MR.107.R1.fastq.gz	12858.24TB.104.R1.fastq.gz	12858.2ABR.15.R1.fastq.gz	12858.2AKC.10.R1.fastq.gz	12858.2AMR.12.R1.fastq.gz	12858.2ATB.9.R1.fastq.gz	12858.2BBR.11.R1.fastq.gz	12858.2BKC.14.R1.fastq.gz	12858.2BMR.16.R1.fastq.gz	12858.2BTB.13.R1.fastq.gz	12858.3BR.19.R1.fastq.gz	12858.3KC.18.R1.fastq.gz	12858.3MR.20.R1.fastq.gz	12858.3TB.17.R1.fastq.gz	12858.4BR.23.R1.fastq.gz	12858.4KC.22.R1.fastq.gz	12858.4MR.25.R1.fastq.gz	12858.4TB.21.R1.fastq.gz	12858.5BR.28.R1.fastq.gz	12858.5KC.27.R1.fastq.gz	12858.5MR.29.R1.fastq.gz	12858.5TB.26.R1.fastq.gz	12858.6BR.32.R1.fastq.gz	12858.6KC.31.R1.fastq.gz	12858.6MR.33.R1.fastq.gz	12858.6TB.30.R1.fastq.gz	12858.7BR.36.R1.fastq.gz	12858.7KC.35.R1.fastq.gz	12858.7MR.37.R1.fastq.gz	12858.7TB.34.R1.fastq.gz	12858.8BR.40.R1.fastq.gz	12858.8KC.39.R1.fastq.gz	12858.8MR.41.R1.fastq.gz	12858.8TB.38.R1.fastq.gz	12858.9BR.44.R1.fastq.gz	12858.9KC.43.R1.fastq.gz	12858.9MR.45.R1.fastq.gz	12858.9TB.42.R1.fastq.gz
GLYCOCAT-PWY	glycogen degradation I (bacterial)	23357.045958691815	16265.034586997868	9245.56351791775	16834.29874425156	22486.851963939	25196.084943633454	16675.112354753583	16296.269736424056	19470.9218038908	16059.432393840169	24207.48804033914	24429.139860657167	12070.615685781617	20246.84661737012	16334.391206503677	13900.040646922063	13403.752434071079	14356.381816836129	24092.54717699362	9536.836895844815	14755.11082184005	11596.73466455705	19572.40677705423	9059.653073842042	16549.053088428813	16143.024165157784	14267.4837209813	18009.565886041495	20820.727610680573	16335.88602275836	15613.827227224265	11170.645119066528	13524.51571051362	19534.19177395412	22148.03810722949	24799.915743244703	13616.983239004949	13028.709043105659	28008.92294430848	20807.63681598577	24135.25054964936	21815.718790808194	23339.722617156465	17280.814887924265	19094.834762803228	22797.13391281938	16344.952875204652	13700.978235407005	22510.785797350127	19014.338116297044	33169.604803247385	21155.98747523328	27546.1116042917	24091.848182011734	31134.499475854635	14014.747915308051	31291.34786250449	25804.848092389126	25146.95682526351	20242.68672606841	25731.930184924648	38930.739574018284	33739.49983351109	29777.79284646103	28223.50082262742	22329.69726751544	30690.03524316821	19994.57858578363	28868.299251444776	12777.006644792044	13514.188619001787	14578.94447029901	23301.94657903129	36130.043369066414	12745.01955284119	18599.9353840549	21012.688291075632	20512.84119001057	17953.834254602014	15282.598450627442	18751.31348251779	27197.225929189288	17750.143295083297	20246.82835870164	8382.523284108835	29700.62143582045	19401.51863186777	15571.911911749748	25392.418860385333	21561.259769793796	17398.624622317897	21565.313444995074	11878.739331425762	23442.558715081646	32078.194225591364	7071.90670105217	15990.535088080189	28233.21983826554	28950.406306697936	23922.596235867823	13244.2521555798	21926.92032738817	25315.348049505414	9948.332157774616
GLYCOGENSYNTH-PWY	glycogen biosynthesis I (from ADP-D-Glucose)	28849.551101998888	12968.604286951753	10066.984010588443	25563.57855707188	22250.894041200067	24265.289025685506	18977.64472916968	18925.42514816732	20131.42568627373	16594.897961515773	24677.507152918944	23717.398080503506	12785.95711289297	19457.422431201117	16260.910229786828	14786.510704292727	13945.846996914666	14963.461999618921	22369.3846655834	14345.050543846526	16699.723211826233	12355.458783848891	18778.387046415515	16005.091711849138	17119.449952407478	18106.402394766785	13288.470942956648	16651.944986806007	20724.184605978597	15348.170751227959	15369.0394645291	11812.292697665393	12785.244180504409	19781.215577314557	22503.426183648568	22294.81820320139	12452.38400144224	14930.908377342152	27627.76208739625	22679.690654428083	25782.470493170644	25214.240371185533	23803.82645666646	18107.417221825675	22711.06341431144	23179.411733094024	18296.09923629986	12241.55271546781	22522.35120229538	23299.12847032227	33726.626506280416	25475.08873391617	26975.434015022423	27551.85927320342	30202.860057012447	17622.800062188682	32336.15947087736	27116.262934479	24819.151054378715	23265.17656761378	25915.74281432469	36442.280645458435	34350.51816085457	30279.323708711818	28597.872830798864	26444.057111644666	30102.200738318617	21589.9719822942	33543.14600629425	12943.48983231695	14416.568024229276	21978.255256189866	26185.53776534645	35143.89899004812	13923.861183954605	28122.27209245409	26383.540962743507	23140.784067629433	19362.09164722317	16103.210255787295	21135.70265143761	29653.38636243445	19608.50686048193	19848.902375374983	7659.218780775266	29217.53821833616	20900.79478235629	16301.065067857042	25565.811438041776	21325.111568607816	17670.113542348856	21088.731385862342	12027.81396319	24382.40479406912	32097.61511018751	6155.881195280052	13898.143119930017	27509.10314235048	29063.923597727713	24134.282208631368	15949.915239920188	20720.06526022194	23767.435083461616	11690.21012004423
GLYCOL-GLYOXDEG-PWY	superpathway of glycol metabolism and degradation	1599.8475756662644	55.13190157669346	912.646024765127	3201.506122525045	2288.1747530375064	250.0229958323546	2975.3343812125127	480.8525577397738	2384.694512425239	0.0	3845.801530347609	2489.5726775923044	612.4216277679067	347.64044092068025	1665.6000836977735	367.5942465288328	1089.5505447435853	0.0	653.9273416122019	246.51677587533217	1814.4428789660376	0.0	1687.3253445991552	543.3658755862087	1908.031511980448	432.96899751118747	2635.435314252131	1026.8797932381162	1476.7069777281442	3.9961243896287186	179.3170473319233	613.5350757589753	1397.166031769018	782.4548079886767	1946.4873468850305	3201.577805249898	1672.8519904020216	0.0	2221.3034606675988	2596.126273649311	1600.4643610923074	1702.7577205280163	1321.4216947369046	650.2403561158836	1983.3279947598514	690.1759326735845	1450.5479569038864	1021.4080060949389	1420.587168476958	252.06059749216308	3213.130577574408	1819.3924745366332	1252.8949563970564	932.5820540354229	1508.3814962087629	25.767698769135524	2454.871001202053	1098.1716577453626	1946.3428751218103	1324.6098304134066	2488.4960406451637	0.0	2138.849355761165	2737.3461376793584	2518.2731167529128	470.1360712482849	1063.0126368761355	793.0963221975572	2889.0459657802808	860.319718871504	1634.0215635868167	787.4591138192364	1676.0163397237925	0.0	1218.3004546872396	1312.1397476117586	2669.0711306857424	749.4533948419398	1397.9469250612115	956.985869368065	2117.915458209807	360.9745377939769	1272.1057039895027	2399.8873928105577	210.45209858736956	0.0	3809.4300814350813	1138.6111415649482	893.3328742034823	0.0	2816.02753507484	1927.0241438014605	611.9362758099595	0.0	3140.853171133228	646.7704946256403	1517.6107545591424	2111.6713624220224	2253.237040268376	1683.6752846224292	1215.6706232993151	776.3271971774516	2264.707528134386	631.0312372957746
GLYCOLYSIS	glycolysis I (from glucose 6-phosphate)	35159.26193449629	28253.51541712824	13507.098887819455	26406.29422457649	27605.59722802457	31808.5332707559	26010.919119556587	30203.4332817641	25780.101745906508	18713.544946216818	30743.72427659029	34473.39279104645	17317.67455610106	25312.062967704907	20118.767713756915	17043.861465360835	18178.928567792897	18448.185486632687	16790.487733497244	21549.87784958614	21115.0436544562	17479.220451652553	23849.592865618753	21601.714195571385	20964.567925639603	24367.578500719384	18124.021182744975	26040.14298144312	26771.61611784738	21898.681018945284	16658.343911870517	17795.858792741106	18115.459347723125	25629.362376319765	26329.214111086567	35074.381585184885	16277.449524269276	18551.42797151932	34038.238288492066	32332.696143443067	32929.81281154694	35266.643128801385	26998.80121459421	29301.45683696921	32067.23755235942	26048.275010974867	21366.499755216028	23289.955865480904	27536.449367978086	29432.26907735766	43665.705993336465	31553.79839776948	31205.71059260756	37446.959768339744	38422.09092823194	26507.82608193942	36514.06885952797	34682.79893583694	32036.17247847336	35180.86308677522	32963.949106964654	37838.20338859517	40084.693540931214	43148.0536954442	36354.141308206985	31222.410069459784	35027.362713865536	28901.57914968576	40356.859130524324	25614.969231265386	18873.475369690248	27128.703005145217	31479.574724926017	25464.658163253203	34429.691338447985	34675.92464892589	33990.803680832614	37461.979043156076	24357.199702344624	26902.919453028153	28495.77743057437	36967.933524516564	23882.158245114297	27957.46157195322	10517.322514041884	35709.11098054132	26876.109658054855	20303.967559582557	35463.79075685204	25885.998214028175	23518.327918912568	33724.172285669505	23358.398551428483	35780.043252828065	38987.22525526295	10773.554003029742	27914.980714200272	39275.79268775657	34479.98184914106	38134.303061270766	22774.636753748066	26738.168290183898	27997.431596772116	15344.19007824653
GLYCOLYSIS-E-D	superpathway of glycolysis and Entner-Doudoroff	24682.57482202257	21501.268205611817	9922.74872903357	18431.170895070532	21396.68658364809	27896.55487728589	18387.269154308917	15167.29382355451	18836.708492819333	17112.28618299056	24673.68756294553	20480.623884996225	11892.391059813324	23279.92133631505	15444.590053708032	8726.066097519864	13257.599083568592	15459.980482639989	18214.44557505449	9770.273107902483	13170.039103023228	16350.281592586842	20843.945420109198	10201.372860016225	14201.61669881662	21346.98549579874	14118.040605306785	15757.352953941709	19045.77571521708	22165.054854952763	14866.776147776209	9559.157246540031	14698.802916403383	22791.49441955502	22040.739164789036	22852.271347080143	13577.224849086873	16304.83535937605	29183.77877178846	22290.19852092585	22614.383158148536	30729.186030417684	23368.53721208232	16521.6803809396	19015.89477389821	25096.09699622806	17800.305942748615	13794.022801190897	21639.50071257524	24037.58792972581	28017.040416145355	22603.1513854373	24894.726213858517	30989.082198228392	32556.579821711966	10334.17963143308	22677.167070042382	30393.201788990496	25434.148518005342	19505.422612204748	22151.1479503532	38888.966826300886	31511.083679935226	23443.135225732218	23552.513145716308	30348.246467238212	28154.54827524028	15485.163441818237	29868.968024491634	14728.36409939044	14830.792604959317	16283.02862231417	26031.49487726411	28663.455242043747	17325.930979184894	24766.223785423022	22753.165958089347	20922.21657872355	16528.40658192286	15730.792326713514	19876.762200767298	33078.567042929215	18537.811989105965	20268.117070087214	9894.945050455153	32313.94012222543	21528.150611035926	15313.366841741465	24292.274244525688	24316.014342645565	16332.892807553711	22350.782252890967	12635.041403443509	33430.002540836096	32918.729852354	7536.687895512259	15073.222132461755	35597.023261433555	24816.534322839325	21094.117632743968	17354.345885454102	24408.653075719747	24094.152231175347	10232.433440445877
GLYCOLYSIS-TCA-GLYOX-BYPASS	superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass	30895.658186815395	15740.881231705627	9864.582514108593	16721.17440050851	22866.60803766784	29341.66942223188	19004.84537618141	9968.77736962561	20085.55328428723	18497.194803486676	24342.91744384268	24403.16674317069	14818.841629282857	25264.202375138877	15929.0797450617	8646.970012902317	14402.905530098282	17022.270915354657	17533.69812433532	8718.446693593334	16081.339682366353	17891.365122870902	22284.20534375662	9254.305619354154	17410.45745759449	22882.30240649788	15173.804003503752	18055.07691995154	21800.05360125275	23943.911410276025	17693.116752776856	12967.467305235024	17609.430277462696	25232.892903657616	25128.96528153663	24762.376943162984	15791.72558924943	18218.88068576014	29927.30717508545	24132.8440449293	27599.230131281663	31565.450874344286	28139.14805991067	19715.98794321665	21822.498566849474	28045.73077006752	20720.69290945831	13146.88373897092	27007.231533221333	26198.97449508242	33603.128747938914	25898.43695231813	28374.943138973536	33850.79048470166	35399.178857788065	14666.185819021895	33894.10509448706	33347.025160916724	29671.493895848253	20138.81489870889	27951.439835864414	36537.270038616756	32635.681569362296	31138.756103274307	26798.156722648717	32583.56620945712	30288.4746867954	20844.82330929548	32779.74283256499	18222.981614892167	16222.901647006214	17083.059129206034	24971.431051702235	28165.753625333575	22175.25597625523	24507.803805171152	25955.441771997823	16928.49946826286	18086.86459967797	16104.189578724656	21738.633232465592	33548.2698899835	20430.68653078867	22156.897989462246	11176.676246614907	33048.093048769784	20128.85661189394	17611.281716929552	26816.619512328514	25031.919965026707	16473.97683067306	20769.997010567688	15339.05272508347	38263.24301600616	34317.430730502514	7734.247387785263	13932.041989488816	41598.760540446696	24628.756203623605	24216.088170740528	17358.779277037473	26116.665609545038	23499.68448477957	11628.71461096194
GLYOXYLATE-BYPASS	glyoxylate cycle	23847.57088619373	8671.2456336668	6433.220886781142	8943.914776665433	17133.89389148036	23904.70433513112	12444.454856294293	4328.105039779406	15290.820251525127	14794.445408148424	17918.18111207433	16821.658949380962	10966.649456797735	20688.78320809188	11646.166107500618	5117.4512254613455	10965.796668703737	14296.45352192701	20590.15938785324	4012.479181837403	12519.119313802163	15596.557505642024	16589.360107936867	4217.81872579815	14801.130120561118	21250.59476855281	11526.563929437478	13616.233507342273	17272.19997393871	24544.38501671205	15491.62510089332	8947.24682863826	14104.01968886668	22735.960173769803	22031.051835954902	17094.021812242212	12166.848146649807	15852.393231055989	21429.659001757704	16762.68660186326	21612.873523877406	29454.61573107822	23880.259092213844	12441.874616177904	15115.661246729282	25319.319049210448	16244.80848670329	6640.36165571821	21345.98125614804	24432.64006347712	28244.627312824985	17453.3976539822	21865.676089164317	31067.680416741943	25721.140989538068	8815.021210423372	29166.21490942709	28784.10631728189	23567.104274402303	11768.895481957616	23466.700515618315	41172.52509543752	24102.56921722512	23146.366773798993	20242.993338647306	29768.02259775101	22362.24748612853	14915.618257132737	25891.777372513407	11875.999637159644	11900.008037770707	10986.49601493721	17023.12437036294	34504.12703951764	11993.355197142568	14995.696048825772	19657.64831231725	10145.842801488772	13268.249419518064	8103.108533090945	15596.756253303873	29378.328779356	14465.32878545694	15094.783512951184	9682.406808962303	25553.890807426124	13435.209018494386	12996.926142742192	18314.398277251454	19551.408010542782	12021.40836361524	11304.668184850738	9871.483530705871	36826.870782833714	24865.216120477515	4796.1936317309055	8274.606026725754	40479.85460195375	17429.165459614807	15092.492495989536	11130.616649314012	20920.46717892701	17701.411832902526	7909.69966603013
GOLPDLCAT-PWY	superpathway of glycerol degradation to 1,3-propanediol	1805.0272218108075	640.1957423941008	768.6328230286423	0.0	1268.4694189554762	1808.5161888048901	2049.976929985384	0.0	3142.715171047129	0.0	1775.4174174062189	0.0	802.0725309836472	852.9837361097899	608.2077362866346	0.0	730.737572073178	0.0	0.0	27.829410701717826	0.0	0.0	1633.658987152334	0.0	1951.6980248760879	1361.031467948673	3808.0477848102837	959.5188013087696	2615.6279605228933	198.98053289307092	176.9680194069324	0.0	858.351627453634	2249.5129811746515	55.62881493074779	1110.6064167441218	1858.2074611113367	0.0	2100.5676733740124	699.3821093583215	0.0	4447.2618078234655	2214.843917490509	0.0	0.0	808.2221641522293	0.0	0.0	2231.9494624376443	897.4957547840618	4507.823416542239	0.0	1130.5574576513945	1387.0475978496036	1235.4716216889906	0.0	867.065223801335	2609.027659491258	2429.497072730387	407.8299706325164	1242.9473060715586	0.0	1444.878751520498	1510.1645626782754	548.8314879143413	1400.0145292225632	0.0	0.0	0.0	1987.149609215496	1470.0335261221264	0.0	0.0	0.0	0.0	0.0	0.0	0.0	747.5407260566864	0.0	1338.1674703549245	1121.4492469604595	0.0	778.8231308403247	0.0	574.7844432228327	0.0	953.538235700876	0.0	0.0	1313.750664384926	0.0	129.39158179726311	1437.9189356312945	1700.3715067729836	955.8108343987907	590.5988454913273	5393.361250792281	1703.7192241910986	811.5598494897125	1183.3363702889585	2100.26913735465	797.4305982230368	0.0
HCAMHPDEG-PWY	3-phenylpropanoate and 3-(3-hydroxyphenyl)propanoate degradation to 2-oxopent-4-enoate	537.6933611582106	156.95717291744023	205.6143079315708	0.0	339.44267969863574	120.84621345544204	578.7065244562953	0.0	1028.7862784392314	0.0	484.3375910230393	0.0	693.8773678629283	236.3363970588235	468.41378283692535	472.5876958349255	200.21639898562972	97.75968109339406	0.0	0.0	0.0	744.7860768672953	506.45381165919287	31.80983606557377	616.354766074556	1209.6176594253675	1514.05924412666	265.3385390471896	1074.2708407197576	1236.5081450114506	0.0	0.0	250.22064056939502	1516.8823403474432	0.0	323.56825720847155	557.2198335644938	1162.9580152671754	580.2049689440994	190.6152779382873	0.0	2291.6394930638808	700.1934058265978	0.0	0.0	224.66334164588523	0.0	617.4927988252626	663.4081353614768	947.0121043343994	1368.1345554163145	0.0	405.2477490098751	1423.9540940908353	404.21308139521375	0.0	248.4159647531424	1400.5662924443836	716.1550887177773	104.9204094422394	326.89100169779283	957.1764705882354	386.2638598038135	412.55392310096914	142.76259746305132	779.5823519273855	0.0	0.0	196.53036840358448	655.0634993147555	408.477690288714	52.2123963061512	0.0	0.0	0.0	0.0	0.0	90.22788461538461	202.4644508309384	0.0	366.58203698268267	866.271235661391	0.0	217.68516519450642	0.0	532.2871163732669	0.0	277.8651026392962	0.0	604.0244731928514	351.0141901810471	0.0	0.0	395.7373626017315	650.5931592796106	294.3942403177756	149.68015925680157	2194.5924676784707	444.1469998176181	217.0995579473381	380.6576862123613	786.2070379227879	210.37867497629043	0.0
HEME-BIOSYNTHESIS-II	heme biosynthesis I (aerobic)	19479.896023733952	11655.233523319235	6237.4267062536155	9117.482705226155	13762.71688543137	19237.57195493199	12211.791067921298	7817.273994861012	11482.533595209607	14046.603526955498	15255.067576854175	16246.698439992493	9548.734122701426	19774.658462751515	9525.385697330788	4292.911397412484	8615.880905158692	12693.452933119856	20391.001068561178	8552.639518203943	10915.905722582858	14261.601867836582	14999.300871529453	10012.921371925833	10280.034751610385	17581.744668539173	8246.065436516188	12139.834852984714	15323.968735982678	20800.850450582955	12990.191488133965	9780.2100532925	13483.836867545117	18348.51960375167	18374.59264807057	13847.745188851508	10706.088460910642	12440.958880450637	20245.09887411571	14505.724769204488	18110.452664521235	26800.33122566041	16909.09640788056	15406.781133113212	16108.650502352857	23064.147647613383	13247.165810886943	10427.211815048067	14358.656800146142	18482.68849829265	22257.51507357004	16206.235016959268	16744.153830186555	24589.655370485245	23300.227389868218	15186.381799567056	22183.768123191367	23000.143370270453	18504.385055528008	13999.085563046265	17176.885942501962	36819.43817936022	20532.67188157339	21033.54810292677	17463.049999346593	21883.10931422672	18518.06773568682	17496.431954817148	21319.6258133818	18009.138540164302	9795.376157833383	12385.270605744592	17146.189497227922	35675.96124220745	24471.73143252264	14346.671797625122	14855.489034930215	9475.224664384885	11377.957596184091	12146.339150602449	12806.153138545562	25355.734798137026	12464.764539552874	13404.38853260428	9449.569789106316	23546.67420350186	13581.515415821748	10738.365968392365	15497.760414159631	19053.46062016774	10605.990980364737	11395.635446260063	14607.347134211897	26695.33229219672	22964.809359845767	4159.400041858332	7885.616115775404	27269.632759651042	14782.929401567932	16890.81003504965	10393.688789121812	18421.57996931105	16383.98585088958	6959.036310761768
HEMESYN2-PWY	heme biosynthesis II (anaerobic)	31638.848952032113	15847.210542316829	10350.014072877859	16777.652065608145	23095.411688105964	28671.973755577623	21437.87511056036	11673.054048934297	20584.60217298761	17888.12401694654	25642.094154578732	24814.766073522587	15372.072674633126	25668.480895146666	16398.27215868632	8010.7293198370935	14742.396637318236	16883.738589881774	24682.07405603893	12360.324360031602	17008.376162791348	17673.19221162802	22928.635083311627	14336.376468828557	18035.735590160504	23005.81443923856	14124.96427025416	16732.532699823016	23503.360920165112	25996.98336943265	18488.88126148518	13162.123537335348	18187.933777709794	25353.325782923443	27119.35062867209	23347.94399650472	15466.296466513762	17667.427028601218	30349.35746819722	24115.406670193417	29047.826637302114	33924.535876191534	28223.19193763061	21490.06182983272	23301.23119231429	30484.464734054643	20942.16061937924	14741.539020493949	26272.231279695512	27007.277042493297	34413.34910194908	26730.343557713906	27082.273440931414	35448.733939827565	36635.94102767244	18664.467429569155	30935.81327300033	32533.834539930747	29745.301282842764	19405.102518246593	29533.74277784085	45513.29421481981	31834.827002746737	30759.45539792866	28333.62590338036	32278.287279482316	30453.23481261802	23398.99158203601	31666.527285081764	22634.197639905484	15763.465622457701	19070.415697518183	27463.821277784013	42412.19511578569	30126.555784624987	26092.999316294365	26249.932349920502	13600.441679614152	18788.40578978762	18283.65656106887	22580.410761984458	33397.801841123415	21407.85292842473	22292.253553379574	11493.191108247358	32492.519987555224	24045.79352120988	17078.703286983855	26887.473181605084	25295.255454244347	18216.925287332968	21169.355906320565	19945.09362068229	36768.97714537058	35432.50727849293	7193.673167171947	11977.290821862784	39169.54842663249	25529.450319992997	23897.391399536642	17023.385154549218	25394.127052408014	24537.8510934232	11420.584524167058
HEXITOLDEGSUPER-PWY	superpathway of hexitol degradation (bacteria)	9921.85988219948	4661.192775825553	4585.561782042605	4737.839805235039	11753.524722350772	8731.31989198305	13969.09849521245	5935.492817674832	8262.515029479486	6203.191746898182	11382.830783495256	10042.945560310189	7579.041701087268	7542.286708790357	8427.78644333333	4290.2169779095475	6611.733111384731	6940.536761538687	2953.2033750824767	2621.267437479159	8251.036505024364	6578.670145852992	10924.538812805684	4936.487979292474	7325.468853428666	8881.751712129637	8695.63794453593	9179.884538746152	10751.186219759189	5429.0007907262625	5979.77607112444	7497.05520357891	5318.160053827202	7093.592849249078	9326.046381847522	11240.411208128104	5985.666944468815	6977.421812714087	13402.71033592283	8275.437578783545	11188.779748343115	9980.223036500758	10387.494117179207	13381.465558312022	10957.505126474136	4747.897341093981	6197.882910982824	10492.927162842603	10327.978626561922	10193.377921779886	14719.781754499863	10974.46330860797	11229.610276183166	9319.62001817209	16855.23838341133	11000.098433514619	9665.708960281789	10992.879804212707	13748.716041492617	9301.095744049051	11943.669148689713	5136.2566525593575	16815.35642569092	14033.082637659749	12580.968058555784	7319.322146505014	15233.697592494078	11210.18552629099	9436.49744729387	16088.386344339575	6401.534694753814	9416.291893294132	9253.723379490457	863.6876588441372	21328.592720578752	12820.366749993069	9990.57628003162	4038.7943408822853	9771.530996968664	12476.581972267693	9598.94942480318	9993.217472570872	11352.79049294834	10789.369693598108	1779.556335728395	12755.129489679426	8840.509025126055	6738.4074911706775	15457.199342113974	7433.770422155187	9053.147571976791	11193.709946110328	13396.13749223207	8922.075714878629	14376.553925497778	3984.2607375292787	5789.4605110632665	10945.727340347235	14155.532239306012	16685.99310811119	7372.333399870436	6978.746289402572	11280.921002965377	4445.581822826444
HISDEG-PWY	L-histidine degradation I	21569.84927999169	6268.4649813193355	7565.689503581929	13270.444810637111	15573.905302650757	20563.84724099784	13192.951897225446	8578.37797006743	13452.429962022354	14187.314121645039	14261.37548649205	17387.844543292016	11212.168886434341	19642.186976597844	10378.762215805908	4267.391845738362	10083.367351148974	12587.221881432468	24107.792888504257	10568.642105693549	12719.79686921045	12736.810651014952	15084.630068580333	11241.04223972612	12895.995124600558	17599.313671886044	9374.657337655806	12883.256422717184	16469.746398107778	21121.400038127747	16281.519797336015	10497.01096279083	13953.352455079319	19167.48972255192	20441.88298983104	17189.716454085068	12021.943495748388	13548.014317473158	18221.131745355327	18146.78906215604	22612.79391074697	23962.373310410127	23402.17913539204	14912.727497821355	18456.552164166867	25328.892662144328	16980.472946128128	11879.769551438965	21012.88924569037	18163.79091545771	23799.52316859425	19391.357268286447	20207.556289817563	24735.311962385753	25144.52340678163	13596.907959185259	22781.754437142128	23194.795102870336	22224.138584865614	14445.56354620731	19572.153582212293	41238.333585975706	21465.54387042893	22314.191350041543	19187.19406357745	21159.932460784865	21863.888321040264	16218.050978786086	24994.520601193344	17386.085878132097	11909.086334742962	13458.201110011863	16378.669707337292	40079.12611374728	25731.783340644684	20187.98915513626	19583.88227942696	8427.245788326809	12702.228305061382	14364.003357288726	15797.968930367664	27055.09867425291	15126.511500533741	16472.896095339336	9566.002650682074	21851.75400141516	11938.996975611817	12276.575475751155	20250.41997973096	18430.802205414217	9949.582330124571	13351.884902537075	15861.31905154568	27667.177989019972	23504.63552260473	5047.580811952988	9630.263072424808	27888.41498008937	17456.16832005075	19714.62442659557	13373.435515343064	17682.360910183656	14825.354666427156	8636.658325015225
HISTSYN-PWY	L-histidine biosynthesis	27432.206017162523	12923.515300793051	9023.533997765182	14077.232525776184	20759.930740031345	27311.727473822222	18657.122971720524	8463.997208686184	18663.65368870581	19086.215744774345	23290.38662540776	20116.288007992138	13466.835828429495	25585.84249344451	15138.286163950836	12191.277356060127	12783.774714228392	18165.71184169041	22862.977873875258	7181.880431479396	14616.652134858257	18322.64684772171	21299.982852084268	8767.833559130015	15605.835600128818	23923.983438332853	14089.123676758954	13405.632189988704	19997.214484380893	25626.64528746862	17229.734209559392	10161.387029849706	16458.516788130717	24532.758095565343	25598.546713064883	18891.75692061669	14487.456134951899	18227.358043241587	29439.536859611162	20219.39358840109	24362.384764800023	34336.425702567256	27034.209243632416	15950.629861694419	19259.7025204246	29053.968640168183	19904.49878403684	11326.336568744875	24592.427844279347	27175.408058202793	30063.515902699957	22029.647023066813	27105.919257454247	33881.30816162072	34427.12051019044	12406.770280992356	29737.448023845685	31729.235438416817	28660.286741773467	15005.760861987017	24974.70935739106	43312.361600695804	35091.455111208634	23482.12961932749	23061.279980689433	29869.63241698852	30401.91774617291	16768.976696613296	29722.403627853266	21991.25275078988	15416.90919637002	11824.801989010879	24490.483136048613	42504.378923159515	30230.96193392028	18501.037703508213	23319.55624612373	34350.491362121524	16448.5435926271	14565.858087306418	19385.33727885408	37021.066625004285	19468.22597717408	19991.33134260349	10567.120407252869	33717.21421107599	19706.98478668252	15778.01471066914	25483.51754969251	26955.23187127104	15624.004997574028	17567.620803278733	18496.737696549128	35605.79723314207	31762.3968258304	6547.052918179049	11878.33380819846	37262.934373077434	22454.450353720502	19879.060459014752	13813.062536731564	24903.63867969561	22530.894423551345	9134.499967437914
